Leaderboard Rank Correlation Analysis Exam-Qrels
run_dir	data/car/carruns
method	min_rating	trec_eval_metric	spearman	kendall
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	ndcg_cut.10	0.869	0.727
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	ndcg_cut.10	0.869	0.727
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	ndcg_cut.10	0.869	0.727
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	ndcg_cut.10	0.869	0.727
data/car/NuggetSelfRatedPrompt.qrel	1	ndcg_cut.10	0.878	0.727
data/car/NuggetSelfRatedPrompt.qrel	3	ndcg_cut.10	0.878	0.727
data/car/NuggetSelfRatedPrompt.qrel	4	ndcg_cut.10	0.878	0.727
data/car/NuggetSelfRatedPrompt.qrel	5	ndcg_cut.10	0.878	0.727
data/car/Thomas.qrel	1	ndcg_cut.10	0.574	0.429
data/car/Thomas.qrel	3	ndcg_cut.10	0.574	0.429
data/car/Thomas.qrel	4	ndcg_cut.10	0.574	0.429
data/car/Thomas.qrel	5	ndcg_cut.10	0.574	0.429
data/car/FagB.qrel	1	ndcg_cut.10	0.577	0.464
data/car/FagB.qrel	3	ndcg_cut.10	0.577	0.464
data/car/FagB.qrel	4	ndcg_cut.10	0.577	0.464
data/car/FagB.qrel	5	ndcg_cut.10	0.577	0.464
data/car/FagB_few.qrel	1	ndcg_cut.10	0.385	0.298
data/car/FagB_few.qrel	3	ndcg_cut.10	0.385	0.298
data/car/FagB_few.qrel	4	ndcg_cut.10	0.385	0.298
data/car/FagB_few.qrel	5	ndcg_cut.10	0.385	0.298
data/car/HELM.qrel	1	ndcg_cut.10	0.468	0.368
data/car/HELM.qrel	3	ndcg_cut.10	0.468	0.368
data/car/HELM.qrel	4	ndcg_cut.10	0.468	0.368
data/car/HELM.qrel	5	ndcg_cut.10	0.468	0.368
data/car/Sun.qrel	1	ndcg_cut.10	0.634	0.490
data/car/Sun.qrel	3	ndcg_cut.10	0.634	0.490
data/car/Sun.qrel	4	ndcg_cut.10	0.634	0.490
data/car/Sun.qrel	5	ndcg_cut.10	0.634	0.490
data/car/Sun_few.qrel	1	ndcg_cut.10	0.311	0.228
data/car/Sun_few.qrel	3	ndcg_cut.10	0.311	0.228
data/car/Sun_few.qrel	4	ndcg_cut.10	0.311	0.228
data/car/Sun_few.qrel	5	ndcg_cut.10	0.311	0.228
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	ndcg_cut.20	0.883	0.735
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	ndcg_cut.20	0.883	0.735
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	ndcg_cut.20	0.883	0.735
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	ndcg_cut.20	0.883	0.735
data/car/NuggetSelfRatedPrompt.qrel	1	ndcg_cut.20	0.848	0.700
data/car/NuggetSelfRatedPrompt.qrel	3	ndcg_cut.20	0.848	0.700
data/car/NuggetSelfRatedPrompt.qrel	4	ndcg_cut.20	0.848	0.700
data/car/NuggetSelfRatedPrompt.qrel	5	ndcg_cut.20	0.848	0.700
data/car/Thomas.qrel	1	ndcg_cut.20	0.640	0.537
data/car/Thomas.qrel	3	ndcg_cut.20	0.640	0.537
data/car/Thomas.qrel	4	ndcg_cut.20	0.640	0.537
data/car/Thomas.qrel	5	ndcg_cut.20	0.640	0.537
data/car/FagB.qrel	1	ndcg_cut.20	0.582	0.432
data/car/FagB.qrel	3	ndcg_cut.20	0.582	0.432
data/car/FagB.qrel	4	ndcg_cut.20	0.582	0.432
data/car/FagB.qrel	5	ndcg_cut.20	0.582	0.432
data/car/FagB_few.qrel	1	ndcg_cut.20	0.409	0.293
data/car/FagB_few.qrel	3	ndcg_cut.20	0.409	0.293
data/car/FagB_few.qrel	4	ndcg_cut.20	0.409	0.293
data/car/FagB_few.qrel	5	ndcg_cut.20	0.409	0.293
data/car/HELM.qrel	1	ndcg_cut.20	0.486	0.362
data/car/HELM.qrel	3	ndcg_cut.20	0.486	0.362
data/car/HELM.qrel	4	ndcg_cut.20	0.486	0.362
data/car/HELM.qrel	5	ndcg_cut.20	0.486	0.362
data/car/Sun.qrel	1	ndcg_cut.20	0.627	0.511
data/car/Sun.qrel	3	ndcg_cut.20	0.627	0.511
data/car/Sun.qrel	4	ndcg_cut.20	0.627	0.511
data/car/Sun.qrel	5	ndcg_cut.20	0.627	0.511
data/car/Sun_few.qrel	1	ndcg_cut.20	0.286	0.179
data/car/Sun_few.qrel	3	ndcg_cut.20	0.286	0.179
data/car/Sun_few.qrel	4	ndcg_cut.20	0.286	0.179
data/car/Sun_few.qrel	5	ndcg_cut.20	0.286	0.179
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	map	0.931	0.808
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	map	0.933	0.817
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	map	0.933	0.817
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	map	0.980	0.902
data/car/NuggetSelfRatedPrompt.qrel	1	map	0.920	0.789
data/car/NuggetSelfRatedPrompt.qrel	3	map	0.873	0.721
data/car/NuggetSelfRatedPrompt.qrel	4	map	0.876	0.762
data/car/NuggetSelfRatedPrompt.qrel	5	map	0.894	0.747
data/car/Thomas.qrel	1	map	0.666	0.576
data/car/Thomas.qrel	3	map	nan	nan
data/car/Thomas.qrel	4	map	nan	nan
data/car/Thomas.qrel	5	map	nan	nan
data/car/FagB.qrel	1	map	0.588	0.443
data/car/FagB.qrel	3	map	nan	nan
data/car/FagB.qrel	4	map	nan	nan
data/car/FagB.qrel	5	map	nan	nan
data/car/FagB_few.qrel	1	map	0.284	0.179
data/car/FagB_few.qrel	3	map	nan	nan
data/car/FagB_few.qrel	4	map	nan	nan
data/car/FagB_few.qrel	5	map	nan	nan
data/car/HELM.qrel	1	map	0.550	0.434
data/car/HELM.qrel	3	map	nan	nan
data/car/HELM.qrel	4	map	nan	nan
data/car/HELM.qrel	5	map	nan	nan
data/car/Sun.qrel	1	map	0.655	0.510
data/car/Sun.qrel	3	map	nan	nan
data/car/Sun.qrel	4	map	nan	nan
data/car/Sun.qrel	5	map	nan	nan
data/car/Sun_few.qrel	1	map	0.286	0.180
data/car/Sun_few.qrel	3	map	nan	nan
data/car/Sun_few.qrel	4	map	nan	nan
data/car/Sun_few.qrel	5	map	nan	nan
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	Rprec	0.909	0.764
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	Rprec	0.910	0.773
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	Rprec	0.910	0.773
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	Rprec	0.959	0.860
data/car/NuggetSelfRatedPrompt.qrel	1	Rprec	0.915	0.766
data/car/NuggetSelfRatedPrompt.qrel	3	Rprec	0.907	0.768
data/car/NuggetSelfRatedPrompt.qrel	4	Rprec	0.893	0.764
data/car/NuggetSelfRatedPrompt.qrel	5	Rprec	0.878	0.715
data/car/Thomas.qrel	1	Rprec	0.646	0.561
data/car/Thomas.qrel	3	Rprec	nan	nan
data/car/Thomas.qrel	4	Rprec	nan	nan
data/car/Thomas.qrel	5	Rprec	nan	nan
data/car/FagB.qrel	1	Rprec	0.685	0.511
data/car/FagB.qrel	3	Rprec	nan	nan
data/car/FagB.qrel	4	Rprec	nan	nan
data/car/FagB.qrel	5	Rprec	nan	nan
data/car/FagB_few.qrel	1	Rprec	0.320	0.219
data/car/FagB_few.qrel	3	Rprec	nan	nan
data/car/FagB_few.qrel	4	Rprec	nan	nan
data/car/FagB_few.qrel	5	Rprec	nan	nan
data/car/HELM.qrel	1	Rprec	0.520	0.403
data/car/HELM.qrel	3	Rprec	nan	nan
data/car/HELM.qrel	4	Rprec	nan	nan
data/car/HELM.qrel	5	Rprec	nan	nan
data/car/Sun.qrel	1	Rprec	0.677	0.544
data/car/Sun.qrel	3	Rprec	nan	nan
data/car/Sun.qrel	4	Rprec	nan	nan
data/car/Sun.qrel	5	Rprec	nan	nan
data/car/Sun_few.qrel	1	Rprec	0.175	0.096
data/car/Sun_few.qrel	3	Rprec	nan	nan
data/car/Sun_few.qrel	4	Rprec	nan	nan
data/car/Sun_few.qrel	5	Rprec	nan	nan
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	recip_rank	0.895	0.755
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	recip_rank	0.870	0.729
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	recip_rank	0.869	0.721
data/car/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	recip_rank	0.862	0.694
data/car/NuggetSelfRatedPrompt.qrel	1	recip_rank	0.862	0.733
data/car/NuggetSelfRatedPrompt.qrel	3	recip_rank	0.858	0.706
data/car/NuggetSelfRatedPrompt.qrel	4	recip_rank	0.895	0.773
