Leaderboard Rank Correlation Analysis Exam-Qrels
run_dir	data/dl20/dl20runs
method	min_rating	trec_eval_metric	spearman	kendall
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	ndcg_cut.10	0.974	0.875
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	ndcg_cut.10	0.974	0.875
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	ndcg_cut.10	0.974	0.875
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	ndcg_cut.10	0.974	0.875
data/dl20/NuggetSelfRatedPrompt.qrel	1	ndcg_cut.10	0.947	0.802
data/dl20/NuggetSelfRatedPrompt.qrel	3	ndcg_cut.10	0.947	0.802
data/dl20/NuggetSelfRatedPrompt.qrel	4	ndcg_cut.10	0.947	0.802
data/dl20/NuggetSelfRatedPrompt.qrel	5	ndcg_cut.10	0.947	0.802
data/dl20/Thomas.qrel	1	ndcg_cut.10	0.936	0.810
data/dl20/Thomas.qrel	3	ndcg_cut.10	0.936	0.810
data/dl20/Thomas.qrel	4	ndcg_cut.10	0.936	0.810
data/dl20/Thomas.qrel	5	ndcg_cut.10	0.936	0.810
data/dl20/FagB.qrel	1	ndcg_cut.10	0.966	0.861
data/dl20/FagB.qrel	3	ndcg_cut.10	0.966	0.861
data/dl20/FagB.qrel	4	ndcg_cut.10	0.966	0.861
data/dl20/FagB.qrel	5	ndcg_cut.10	0.966	0.861
data/dl20/FagB_few.qrel	1	ndcg_cut.10	0.970	0.872
data/dl20/FagB_few.qrel	3	ndcg_cut.10	0.970	0.872
data/dl20/FagB_few.qrel	4	ndcg_cut.10	0.970	0.872
data/dl20/FagB_few.qrel	5	ndcg_cut.10	0.970	0.872
data/dl20/HELM.qrel	1	ndcg_cut.10	0.970	0.872
data/dl20/HELM.qrel	3	ndcg_cut.10	0.970	0.872
data/dl20/HELM.qrel	4	ndcg_cut.10	0.970	0.872
data/dl20/HELM.qrel	5	ndcg_cut.10	0.970	0.872
data/dl20/Sun.qrel	1	ndcg_cut.10	0.974	0.880
data/dl20/Sun.qrel	3	ndcg_cut.10	0.974	0.880
data/dl20/Sun.qrel	4	ndcg_cut.10	0.974	0.880
data/dl20/Sun.qrel	5	ndcg_cut.10	0.974	0.880
data/dl20/Sun_few.qrel	1	ndcg_cut.10	0.950	0.825
data/dl20/Sun_few.qrel	3	ndcg_cut.10	0.950	0.825
data/dl20/Sun_few.qrel	4	ndcg_cut.10	0.950	0.825
data/dl20/Sun_few.qrel	5	ndcg_cut.10	0.950	0.825
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	ndcg_cut.20	0.973	0.871
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	ndcg_cut.20	0.973	0.871
